Tiempo, CPU, Mem
2025-04-02 01:43:06,11.5  7.8
2025-04-02 01:43:08,11.5  7.8
2025-04-02 01:43:09,11.5  7.8
2025-04-02 01:43:11,11.6  7.8
2025-04-02 01:43:12,11.6  7.8
2025-04-02 01:43:13,11.6  7.8
2025-04-02 01:43:15,11.6  7.7
2025-04-02 01:43:16,11.7  7.8
2025-04-02 01:43:18,11.7  7.8
2025-04-02 01:43:20,11.7  7.8
2025-04-02 01:43:21,11.7  7.8
2025-04-02 01:43:23,11.6  7.8
2025-04-02 01:43:26,11.6  7.8
2025-04-02 01:43:27,11.6  7.8
2025-04-02 01:43:28,11.6  7.8
2025-04-02 01:43:30,11.5  7.8
2025-04-02 01:43:31,11.5  7.8
2025-04-02 01:43:33,11.5  7.8
2025-04-02 01:43:34,11.4  7.8
2025-04-02 01:43:36,11.4  7.8
2025-04-02 01:43:38,11.4  7.8
2025-04-02 01:43:39,11.4  7.8
2025-04-02 01:43:40,11.3  7.8
2025-04-02 01:43:42,11.3  7.8
2025-04-02 01:43:43,11.3  7.8
2025-04-02 01:43:44,11.2  7.8
2025-04-02 01:43:46,11.2  7.8
2025-04-02 01:43:47,11.2  7.8
2025-04-02 01:43:49,11.2  7.8
2025-04-02 01:43:50,11.1  7.8
2025-04-02 01:43:51,11.1  7.8
2025-04-02 01:43:52,11.1  7.8
2025-04-02 01:43:54,11.1  7.8
2025-04-02 01:43:55,11.1  7.8
2025-04-02 01:43:57,11.1  7.8
2025-04-02 01:43:59,11.1  7.8
2025-04-02 01:44:00,11.0  7.8
2025-04-02 01:44:03,11.0  7.8
